"Species","ForStrat_terrestrial","ForStrat_aquatic","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","female_maturity_d","male_maturity_d","weaning_d","litters_or_clutches_per_y","longevity_y","adult_svl_cm","infantMortalityRate_per_year","mortalityRateDoublingTime_y","metabolicRate_W","temperature_K","diet_breadth","development_d","mass_specific_production","log_litterclutch_size_n","log_inter_litterbirth_interval_y","log_birthhatching_weight_g","log_weaning_weight_g","log_adult_body_mass_g","log_female_body_mass_g","log_male_body_mass_g","tnc_ecoregion_breadth","log_range_size","X2.1_AgeatEyeOpening_d","X9.1_GestationLen_d","X10.2_SocialGrpSize","X24.1_TeatNumber","X6.2_TrophicLevel","X13.3_WeaningHeadBodyLen_mm","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm","log_DispersalAge_d","log_HomeRange_km2","log_HomeRange_Indiv_km2","log_PopulationDensity_n.km2","log_PopulationGrpSize","log_HuPopDen_Min_n.km2","log_HuPopDen_Mean_n.km2","log_HuPopDen_5p_n.km2","log_NeonateHeadBodyLen_mm","log_WOS_hits","Afrosoricida","Artiodactyla","Carnivora","Cetacea","Chiroptera","Cingulata","Dasyuromorphia","Didelphimorphia","Diprotodontia","Erinaceomorpha","Lagomorpha","Macroscelidea","Monotremata","Perissodactyla","Pholidota","Primates","Proboscidea","Rodentia","Sirenia","Soricomorpha","Tubulidentata","traits_wild"
"Meriones tristrami",1,0,1,1,1,97.24248,114.811313720617,26.0685,3.82,3.61666667,17.4240653861297,NA,NA,NA,NA,0.4,25.3353,0.704943491309801,1.72365905652412,-2.4585626405284,1.3015531326648,3.2188758248682,4.71510024536029,3.82054814194822,4.70691293527179,15,13.7118302404748,NA,23.99,NA,NA,NA,NA,42.51,23.64,33.07,51.52,26.23,38.87,0.14,32.57,137.03,323.04,1113.96,NA,-3.06694760052459,-2.85193893592314,6.81486813956427,NA,0.693147180559945,4.4398237334001,1.38629436111989,3.55164485592382,4.02535169073515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Meriones grandis",1,0,1,1,1,97.24248,114.811313720617,26.0685,3.82,4.65833333,18.3185411000476,NA,NA,NA,NA,0.4,25.48748,0.686882710449927,1.72722094809048,-2.4585626405284,1.48274025938814,3.2188758248682,4.92580335857956,4.1879870228954,4.68160750232193,6,13.4710527847503,NA,25.955879141729,NA,NA,NA,NA,12.9969198080703,-1.15725475169901,6.21593599278223,35.6342968411827,14.9486051966378,25.2694182755833,NA,141.263939012013,182.168986860649,857.855178882704,1338.79521528233,NA,-3.06340719612193,-2.84932075145485,6.29201055914071,NA,2.00558875774047,1.97451322087399,0.520760522723185,3.55832596298345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Meriones unguiculatus",1,0,1,1,1,56.5,36,24,3.84,2,11.25,NA,NA,0.546,311.35,0.4,25.09,0.958347676419965,1.6094379124341,-2.07194062403302,1.06471073699243,2.66025953726586,4.06216566385787,4.08753885848053,3.98200438253918,20,15.0023957893286,18.75,25.09,NA,NA,NA,NA,52.04,38.19,45.12,125.6,91.37,108.49,0.03,20.99,3.37,289.67,564.18,NA,-3.33408787693674,-2.84467198622277,7.40505014797275,NA,1.29827849099402,2.76316950032329,0.130707268242003,3.51556512648992,7.7106533235012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Meriones zarudnyi",1,0,1,1,1,68.97,82,20.39212,2,5.6,15,NA,NA,NA,NA,0.4,23.5,0.554865424430642,1.38629436111989,-1.69588944616522,1.20896034583698,3.18419901096192,3.87743156065853,4.44087137470495,3.3167076438057,6,11.8129679646676,NA,24.5485856086367,NA,NA,NA,NA,38.06,34.15,36.1,65.76,58.25,62,0.17,18.24,130.31,237.01,1010.33,NA,-3.31002291196264,-2.84723850082655,6.4573684434595,NA,1.38629436111989,2.9338568698359,1.79175946922805,3.60027128499162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Meriones dahli",1,0,1,1,1,330.85807091727,655.289140175977,75.3056839519366,1.7287204707127,2.60875360894343,17.5535698898035,NA,NA,NA,NA,0.4,86.6264137406901,0.327643849163587,0.944225498125206,-0.163807727275465,1.65458093472841,4.00866840787235,4.50147494964933,4.32927146437641,4.38206529979837,1,6.74690063003006,NA,108.78107646055,NA,NA,NA,NA,40.54,39.78,40.16,46.12,45.36,45.74,0.02,37.15,40.02,513.3,809.28,NA,-1.99556900722048,-2.81408117162321,7.0628352295136,NA,3.13549421592915,3.84245854204224,3.13549421592915,3.97833726469782,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Meriones vinogradovi",1,0,1,1,1,174.8249292384,581.815066655515,28.3412831740337,1.70063333477593,6.65,15.453,NA,NA,NA,NA,0.4,21.91392,0.480101270244547,1.94591014905531,-0.669618755807935,1.09861228866811,4.17327686068394,5.01063529409626,4.54978636726924,4.56664046203401,8,12.6248669595634,9.5,21.89,NA,NA,NA,NA,41.02,33.69,37.35,50.97,39.44,45.2,0.09,40.34,105.05,406.51,1033.58,NA,-3.31002291196264,-2.80611993037119,6.63818794816151,NA,3.13549421592915,4.2076732475291,3.52636052461616,3.51725636734359,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Meriones chengi",1,0,1,1,1,338.386220814924,655.289140175977,75.0279839838509,0.959322000488442,1.95291742140282,17.5535698898035,NA,NA,NA,NA,0.4,85.3095684215149,0.327725044009864,1.62784464939688,-0.251128014553196,1.76042753891947,4.00866840787235,4.48818683050227,4.29295946631085,4.38227841914941,1,10.6729311127339,NA,108.78107646055,NA,NA,NA,NA,47.66,41.56,44.61,90.59,88.71,89.65,0.05,16.77,54.7,142.52,611.84,NA,-1.99556900722048,-2.81848605299378,6.54599695827656,NA,0.693147180559945,2.08069076108027,1.09861228866811,3.97843696783196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Meriones sacramenti",1,0,1,1,1,68.97,82,20.39212,2,5.59166667,15,NA,NA,NA,NA,0.4,23.5,0.569430641821946,1.41220574290439,-1.69588944616522,1.20896034583698,3.12465010958772,3.87743156065853,4.67037697397185,3.3167076438057,1,9.01346541443476,NA,24.5485856086367,NA,NA,NA,NA,32.08,30.84,31.46,34.98,34.26,34.62,0.22,24.09,192.13,258.38,1448.76,NA,-3.31002291196264,-2.83560240035382,6.5833306500766,NA,2.70805020110221,6.72389253516935,2.70805020110221,3.53126124873423,1.6094379124341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Meriones hurrianae",1,0,0,0,1,78.22698,118.178624401052,22.40376,3.5,0.83333333,14.8164515385045,NA,NA,NA,NA,0.4,29.35646,0.80628895184136,1.45395300959371,-2.10033424363007,1.33500106673234,3.02042488614436,4.2570301444992,4.0300963867113,4.30071409542808,6,13.0832424223379,14.25,29.19,NA,NA,NA,NA,33.67,20.68,27.18,75.02,53.93,64.47,0.13,26.56,244.95,314.37,1387.97,NA,-9.17531112305679,-9.06161868822955,7.26565878680704,NA,1.94591014905531,5.10120699228064,2.30258509299405,3.59297890725604,4.77068462446567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Meriones rex",1,0,1,0,0,356.550308671933,655.289140175977,76.094780488024,1.11067880431817,5.24920734566657,18.0611441476224,NA,NA,NA,NA,0.4,88.5926945474893,0.322701359848216,1.14313338880929,-0.286997434790168,2.06077005744191,4.0462973710554,4.83031173996497,4.29236359423633,4.71752355924929,3,12.2341059829607,NA,108.78107646055,NA,NA,NA,NA,23.86,12.59,18.22,52.33,38.39,45.36,0.21,10.68,221.52,198.1,1492.29,NA,-1.99556900722048,-2.81020072621495,6.06901338123558,NA,-0.0299083342831558,3.81595253667741,0,3.96482309369656,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
